"geography","mobility_type_desc","coefficient","standard_error","p_value"
"France","R2",NA,"0.74",NA
"Germany","Workplace","-0.00","0.07","0.97"
"Germany","Transit","0.17","0.06","0.00"
"Germany","Residential","-0.30","0.19","0.11"
"Germany","Retail Recreation","-0.06","0.04","0.17"
"Germany","Grocery Pharmacy","-0.09","0.02","0.00"
"Germany","Parks","-0.05","0.01","0.00"
"Germany","Constant","1.83",NA,NA
"Germany","N",NA,"107.00",NA
"Germany","R2",NA,"0.72",NA
"Greece","Workplace","0.09","0.12","0.43"
"Greece","Transit","-0.04","0.10","0.71"
"Greece","Residential","-0.32","0.39","0.42"
"Greece","Retail Recreation","0.03","0.06","0.61"
"Greece","Grocery Pharmacy","-0.07","0.04","0.12"
"Greece","Parks","-0.06","0.02","0.00"
"Greece","Constant","0.35",NA,NA
"Greece","N",NA,"107.00",NA
"Greece","R2",NA,"0.43",NA
"Hungary","Workplace","0.17","0.14","0.21"
"Hungary","Transit","0.28","0.09","0.00"
"Hungary","Residential","0.61","0.34","0.07"
"Hungary","Retail Recreation","0.03","0.06","0.67"
"Hungary","Grocery Pharmacy","-0.03","0.04","0.49"
"Hungary","Parks","-0.11","0.02","0.00"
"Hungary","Constant","0.29",NA,NA
"Hungary","N",NA,"107.00",NA
"Hungary","R2",NA,"0.70",NA
"India","Workplace","-0.26","0.14","0.06"
"India","Transit","0.09","0.18","0.63"
"India","Residential","-1.36","0.40","0.00"
"India","Retail Recreation","-0.20","0.20","0.32"
"India","Grocery Pharmacy","0.22","0.09","0.02"
"India","Parks","-0.01","0.18","0.94"
"India","Constant","-0.14",NA,NA
"India","N",NA,"107.00",NA
"India","R2",NA,"0.90",NA
"Ireland","Workplace","0.05","0.06","0.39"
"Ireland","Transit","-0.20","0.03","0.00"
"Ireland","Residential","-0.27","0.12","0.03"
"Ireland","Retail Recreation","0.19","0.02","0.00"
"Ireland","Grocery Pharmacy","0.00","0.02","0.86"
"Ireland","Parks","-0.00","0.01","0.91"
"Ireland","Constant","1.67",NA,NA
"Ireland","N",NA,"107.00",NA
"Ireland","R2",NA,"0.88",NA
"Italy","Workplace","0.30","0.13","0.03"
"Italy","Transit","-0.40","0.07","0.00"
"Italy","Residential","-0.29","0.31","0.36"
"Italy","Retail Recreation","0.38","0.09","0.00"
"Italy","Grocery Pharmacy","-0.12","0.09","0.18"
"Italy","Parks","-0.03","0.04","0.39"
"Italy","Constant","1.36",NA,NA
"Italy","N",NA,"107.00",NA
"Italy","R2",NA,"0.80",NA
"Japan","Workplace","0.40","0.13","0.00"
"Japan","Transit","-0.26","0.09","0.00"
"Japan","Residential","0.54","0.32","0.09"
"Japan","Retail Recreation","0.46","0.10","0.00"
"Japan","Grocery Pharmacy","-0.39","0.18","0.03"
"Japan","Parks","0.01","0.04","0.82"
"Japan","Constant","-0.36",NA,NA
"Japan","N",NA,"107.00",NA
"Japan","R2",NA,"0.38",NA
"Latvia","Workplace","0.01","0.05","0.86"
"Latvia","Transit","-0.00","0.05","0.97"
"Latvia","Residential","-0.07","0.16","0.64"
"Latvia","Retail Recreation","0.02","0.04","0.61"
"Latvia","Grocery Pharmacy","0.07","0.04","0.08"
"Latvia","Parks","-0.03","0.01","0.01"
"Latvia","Constant","0.70",NA,NA
"Latvia","N",NA,"107.00",NA
"Latvia","R2",NA,"0.42",NA
"Lithuania","Workplace","0.06","0.04","0.09"
"Lithuania","Transit","0.18","0.05","0.00"
"Lithuania","Residential","0.21","0.10","0.04"
"Lithuania","Retail Recreation","0.05","0.03","0.13"
"Lithuania","Grocery Pharmacy","-0.10","0.02","0.00"
"Lithuania","Parks","-0.02","0.01","0.00"
"Lithuania","Constant","1.41",NA,NA
"Lithuania","N",NA,"107.00",NA
"Lithuania","R2",NA,"0.83",NA
"Mexico","Workplace","0.07","0.11","0.52"
"Mexico","Transit","0.13","0.27","0.62"
"Mexico","Residential","0.30","0.23","0.18"
"Mexico","Retail Recreation","0.53","0.18","0.00"
"Mexico","Grocery Pharmacy","-0.05","0.11","0.68"
"Mexico","Parks","-0.43","0.22","0.05"
"Mexico","Constant","0.81",NA,NA
"Mexico","N",NA,"85.00",NA
"Mexico","R2",NA,"0.71",NA
"Netherlands","Workplace","0.00","0.06","0.97"
"Netherlands","Transit","0.19","0.08","0.02"
"Netherlands","Residential","-0.16","0.25","0.52"
"Netherlands","Retail Recreation","-0.09","0.06","0.15"
"Netherlands","Grocery Pharmacy","0.00","0.06","0.95"
"Netherlands","Parks","-0.02","0.01","0.06"
"Netherlands","Constant","1.15",NA,NA
"Netherlands","N",NA,"107.00",NA
"Netherlands","R2",NA,"0.76",NA
"New Zealand","Workplace","0.21","0.04","0.00"
"New Zealand","Transit","-0.21","0.03","0.00"
"New Zealand","Residential","-0.06","0.10","0.56"
"New Zealand","Retail Recreation","0.15","0.03","0.00"
"New Zealand","Grocery Pharmacy","-0.07","0.03","0.02"
"New Zealand","Parks","0.05","0.03","0.19"
