"country","variable","coefficient","p_value","standard_error"
"Italy","R2","-","0.584","-"
"Japan","CI 1 early","-1.756","0","0.473"
"Japan","CI 1 late","-","-","-"
"Japan","CI 2 early","-1.931","0.038","0.931"
"Japan","CI 2 late","-","-","-"
"Japan","CI 3","-","-","-"
"Japan","const","-","-","-"
"Japan","N","-","107","-"
"Japan","R2","-","0.043","-"
"Latvia","CI 1 early","-","-","-"
"Latvia","CI 1 late","-1.101","0.019","0.469"
"Latvia","CI 2 early","-3.474","0","0.412"
"Latvia","CI 2 late","-","-","-"
"Latvia","CI 3","-","-","-"
"Latvia","const","0.853","0.004","0.299"
"Latvia","N","-","107","-"
"Latvia","R2","-","0.388","-"
"Lithuania","CI 1 early","-","-","-"
"Lithuania","CI 1 late","-7.918","0","0.474"
"Lithuania","CI 2 early","-1.761","0","0.419"
"Lithuania","CI 2 late","-9.383","0","0.46"
"Lithuania","CI 3","-9.644","0","0.533"
"Lithuania","const","0.888","0.009","0.339"
"Lithuania","N","-","107","-"
"Lithuania","R2","-","0.808","-"
"Mexico","CI 1 early","-","-","-"
"Mexico","CI 1 late","-","-","-"
"Mexico","CI 2 early","-10.699","0","0.84"
"Mexico","CI 2 late","-","-","-"
"Mexico","CI 3","-","-","-"
"Mexico","const","-0.417","0.494","0.61"
"Mexico","N","-","85","-"
"Mexico","R2","-","0.64","-"
"Netherlands","CI 1 early","-","-","-"
"Netherlands","CI 1 late","-","-","-"
"Netherlands","CI 2 early","-9.37","0","0.653"
"Netherlands","CI 2 late","-","-","-"
"Netherlands","CI 3","-","-","-"
"Netherlands","const","-0.047","0.927","0.514"
"Netherlands","N","-","107","-"
"Netherlands","R2","-","0.617","-"
"New Zealand","CI 1 early","-1.323","0","0.256"
"New Zealand","CI 1 late","-","-","-"
"New Zealand","CI 2 early","-0.886","0.571","1.563"
"New Zealand","CI 2 late","-6.29","0","0.706"
"New Zealand","CI 3","-13.548","0","0.612"
"New Zealand","const","-","-","-"
"New Zealand","N","-","107","-"
"New Zealand","R2","-","0.855","-"
"Norway","CI 1 early","-","-","-"
"Norway","CI 1 late","-1.551","0.062","0.832"
"Norway","CI 2 early","-","-","-"
"Norway","CI 2 late","-0.9","0.315","0.895"
"Norway","CI 3","0.242","0.741","0.732"
"Norway","const","1.913","0","0.532"
"Norway","N","-","107","-"
"Norway","R2","-","0.047","-"
"Ontario","CI 1 early","-1.068","0.202","0.837"
"Ontario","CI 1 late","-6.067","0","0.916"
"Ontario","CI 2 early","-7.325","0","0.701"
"Ontario","CI 2 late","-","-","-"
"Ontario","CI 3","-","-","-"
"Ontario","const","-0.466","0.373","0.523"
"Ontario","N","-","107","-"
"Ontario","R2","-","0.512","-"
"Poland","CI 1 early","-2.591","0","0.461"
"Poland","CI 1 late","-","-","-"
"Poland","CI 2 early","-1.684","0.082","0.967"
"Poland","CI 2 late","-7.222","0","0.752"
"Poland","CI 3","-7.225","0","0.724"
"Poland","const","-","-","-"
"Poland","N","-","107","-"
"Poland","R2","-","0.554","-"
"Portugal","CI 1 early","-","-","-"
"Portugal","CI 1 late","-","-","-"
"Portugal","CI 2 early","-2.239","0.015","0.919"
"Portugal","CI 2 late","-10.513","0","0.778"
"Portugal","CI 3","-10.577","0","0.845"
"Portugal","const","-1.183","0.103","0.725"
"Portugal","N","-","107","-"
"Portugal","R2","-","0.744","-"
"US: California","CI 1 early","-0.312","0.542","0.512"
"US: California","CI 1 late","-","-","-"
"US: California","CI 2 early","-","-","-"
"US: California","CI 2 late","-3.244","0","0.813"
"US: California","CI 3","-6.865","0","0.74"
"US: California","const","-","-","-"
"US: California","N","-","107","-"
"US: California","R2","-","0.465","-"
"US: Carolinas","CI 1 early","-2.313","0.002","0.753"
"US: Carolinas","CI 1 late","-","-","-"
"US: Carolinas","CI 2 early","-","-","-"
"US: Carolinas","CI 2 late","-7.146","0","0.902"
"US: Carolinas","CI 3","-8.445","0","1.047"
"US: Carolinas","const","-","-","-"
"US: Carolinas","N","-","107","-"
"US: Carolinas","R2","-","0.433","-"
"US: Central","CI 1 early","-3.085","0","0.654"
"US: Central","CI 1 late","-","-","-"
"US: Central","CI 2 early","-0.51","0.562","0.879"
"US: Central","CI 2 late","-2.01","0.163","1.441"
"US: Central","CI 3","-3.951","0","1.027"
"US: Central","const","-","-","-"
"US: Central","N","-","107","-"
"US: Central","R2","-","0.106","-"
"US: Florida","CI 1 early","1.892","0","0.522"
"US: Florida","CI 1 late","-","-","-"
"US: Florida","CI 2 early","2.256","0.036","1.076"
"US: Florida","CI 2 late","3.106","0.172","2.273"
"US: Florida","CI 3","-1.808","0.014","0.737"
"US: Florida","const","-","-","-"
"US: Florida","N","-","107","-"
"US: Florida","R2","-","0.102","-"
"US: Mid-Atlantic","CI 1 early","1.368","0.004","0.478"
"US: Mid-Atlantic","CI 1 late","-","-","-"
"US: Mid-Atlantic","CI 2 early","-5.569","0","0.661"
"US: Mid-Atlantic","CI 2 late","-8.571","0","0.666"
"US: Mid-Atlantic","CI 3","-7.672","0","0.613"
"US: Mid-Atlantic","const","-","-","-"
"US: Mid-Atlantic","N","-","107","-"
"US: Mid-Atlantic","R2","-","0.703","-"
"US: Northeast","CI 1 early","-1.169","0.023","0.515"
"US: Northeast","CI 1 late","-","-","-"
"US: Northeast","CI 2 early","-3.669","0.066","1.997"
"US: Northeast","CI 2 late","-3.806","0.001","1.153"
"US: Northeast","CI 3","-3.576","0","0.787"
"US: Northeast","const","-","-","-"
"US: Northeast","N","-","107","-"
"US: Northeast","R2","-","0.173","-"
