"geography","mobility_type_desc","coefficient","standard_error","p_value","R2","N"
"Greece","Grocery Pharmacy","0.01","0.02","0.71","0.00","107.00"
"Greece","Parks","-0.01","0.01","0.61","0.00","107.00"
"Hungary","Workplace","0.17","0.03","0.00","0.41","107.00"
"Hungary","Transit","0.17","0.02","0.00","0.50","107.00"
"Hungary","Residential","-0.39","0.06","0.00","0.32","107.00"
"Hungary","Retail Recreation","0.15","0.02","0.00","0.42","107.00"
"Hungary","Grocery Pharmacy","0.11","0.03","0.00","0.20","107.00"
"Hungary","Parks","0.02","0.02","0.29","0.01","107.00"
"India","Workplace","0.33","0.01","0.00","0.80","107.00"
"India","Transit","0.32","0.01","0.00","0.80","107.00"
"India","Residential","-0.78","0.03","0.00","0.80","107.00"
"India","Retail Recreation","0.24","0.01","0.00","0.67","107.00"
"India","Grocery Pharmacy","0.39","0.02","0.00","0.85","107.00"
"India","Parks","0.29","0.02","0.00","0.58","107.00"
"Ireland","Workplace","0.18","0.01","0.00","0.74","107.00"
"Ireland","Transit","0.17","0.01","0.00","0.68","107.00"
"Ireland","Residential","-0.44","0.02","0.00","0.75","107.00"
"Ireland","Retail Recreation","0.16","0.01","0.00","0.80","107.00"
"Ireland","Grocery Pharmacy","0.28","0.04","0.00","0.40","107.00"
"Ireland","Parks","0.06","0.01","0.00","0.07","107.00"
"Italy","Workplace","0.31","0.03","0.00","0.72","107.00"
"Italy","Transit","0.25","0.02","0.00","0.61","107.00"
"Italy","Residential","-0.67","0.05","0.00","0.73","107.00"
"Italy","Retail Recreation","0.23","0.02","0.00","0.65","107.00"
"Italy","Grocery Pharmacy","0.21","0.03","0.00","0.36","107.00"
"Italy","Parks","0.17","0.01","0.00","0.59","107.00"
"Japan","Workplace","0.14","0.03","0.00","0.20","107.00"
"Japan","Transit","0.13","0.02","0.00","0.23","107.00"
"Japan","Residential","-0.36","0.08","0.00","0.23","107.00"
"Japan","Retail Recreation","0.15","0.03","0.00","0.21","107.00"
"Japan","Grocery Pharmacy","0.15","0.09","0.10","0.03","107.00"
"Japan","Parks","-0.01","0.02","0.79","0.00","107.00"
"Latvia","Workplace","0.07","0.01","0.00","0.33","107.00"
"Latvia","Transit","0.07","0.01","0.00","0.31","107.00"
"Latvia","Residential","-0.18","0.03","0.00","0.26","107.00"
"Latvia","Retail Recreation","0.08","0.01","0.00","0.29","107.00"
"Latvia","Grocery Pharmacy","0.12","0.02","0.00","0.23","107.00"
"Latvia","Parks","-0.01","0.01","0.06","0.04","107.00"
"Lithuania","Workplace","0.14","0.02","0.00","0.46","107.00"
"Lithuania","Transit","0.16","0.01","0.00","0.67","107.00"
"Lithuania","Residential","-0.34","0.05","0.00","0.40","107.00"
"Lithuania","Retail Recreation","0.14","0.01","0.00","0.62","107.00"
"Lithuania","Grocery Pharmacy","0.10","0.03","0.00","0.15","107.00"
"Lithuania","Parks","-0.04","0.01","0.00","0.09","107.00"
"Mexico","Workplace","0.21","0.02","0.00","0.56","85.00"
"Mexico","Transit","0.19","0.01","0.00","0.65","85.00"
"Mexico","Residential","-0.53","0.04","0.00","0.61","85.00"
"Mexico","Retail Recreation","0.21","0.02","0.00","0.67","85.00"
"Mexico","Grocery Pharmacy","0.42","0.04","0.00","0.60","85.00"
"Mexico","Parks","0.22","0.02","0.00","0.63","85.00"
"Netherlands","Workplace","0.19","0.02","0.00","0.61","107.00"
"Netherlands","Transit","0.18","0.01","0.00","0.67","107.00"
"Netherlands","Residential","-0.62","0.05","0.00","0.66","107.00"
"Netherlands","Retail Recreation","0.16","0.02","0.00","0.34","107.00"
"Netherlands","Grocery Pharmacy","0.15","0.06","0.01","0.09","107.00"
"Netherlands","Parks","-0.05","0.02","0.00","0.18","107.00"
"New Zealand","Workplace","0.16","0.01","0.00","0.80","107.00"
"New Zealand","Transit","0.14","0.01","0.00","0.64","107.00"
"New Zealand","Residential","-0.43","0.02","0.00","0.79","107.00"
"New Zealand","Retail Recreation","0.14","0.01","0.00","0.74","107.00"
"New Zealand","Grocery Pharmacy","0.23","0.03","0.00","0.60","107.00"
"New Zealand","Parks","0.19","0.01","0.00","0.61","107.00"
"Norway","Workplace","-0.00","0.01","0.78","0.00","104.00"
"Norway","Transit","-0.01","0.01","0.46","0.01","104.00"
"Norway","Residential","0.03","0.04","0.38","0.01","104.00"
"Norway","Retail Recreation","-0.03","0.01","0.03","0.03","104.00"
"Norway","Grocery Pharmacy","-0.03","0.01","0.00","0.06","104.00"
"Norway","Parks","-0.01","0.01","0.03","0.05","104.00"
"Poland","Workplace","0.16","0.02","0.00","0.56","107.00"
"Poland","Transit","0.14","0.01","0.00","0.67","107.00"
"Poland","Residential","-0.41","0.05","0.00","0.51","107.00"
"Poland","Retail Recreation","0.13","0.01","0.00","0.58","107.00"
"Poland","Grocery Pharmacy","0.10","0.03","0.00","0.26","107.00"
"Poland","Parks","0.05","0.01","0.00","0.11","107.00"
"Portugal","Workplace","0.17","0.01","0.00","0.60","107.00"
"Portugal","Transit","0.14","0.01","0.00","0.66","107.00"
"Portugal","Residential","-0.32","0.03","0.00","0.57","107.00"
"Portugal","Retail Recreation","0.13","0.01","0.00","0.56","107.00"
"Portugal","Grocery Pharmacy","0.17","0.03","0.00","0.45","107.00"
"Portugal","Parks","0.07","0.01","0.00","0.23","107.00"
"US: California","Workplace","0.17","0.02","0.00","0.54","107.00"
"US: California","Transit","0.16","0.01","0.00","0.48","107.00"
"US: California","Residential","-0.42","0.03","0.00","0.56","107.00"
"US: California","Retail Recreation","0.15","0.01","0.00","0.47","107.00"
"US: California","Grocery Pharmacy","0.32","0.03","0.00","0.56","107.00"
"US: California","Parks","0.13","0.01","0.00","0.33","107.00"
"US: Carolinas","Workplace","0.25","0.02","0.00","0.56","107.00"
"US: Carolinas","Transit","0.21","0.02","0.00","0.49","107.00"
"US: Carolinas","Residential","-0.61","0.06","0.00","0.49","107.00"
"US: Carolinas","Retail Recreation","0.22","0.03","0.00","0.39","107.00"
"US: Carolinas","Grocery Pharmacy","0.25","0.06","0.00","0.13","107.00"
