"geography","type_desc","historic","actual"
"US: Carolinas","Base (MW)","17275","16358"
"US: Carolinas","Peak hour","18","18"
"US: Carolinas","Base hour","4","4"
"US: Central","Peak (MW)","28958","28095"
"US: Central","Base (MW)","22587","22403"
"US: Central","Peak hour","17","14"
"US: Central","Base hour","4","4"
"US: Florida","Peak (MW)","33520","34686"
"US: Florida","Base (MW)","17043","18539"
"US: Florida","Peak hour","17","18"
"US: Florida","Base hour","4","5"
"US: Mid-Atlantic","Peak (MW)","90083","80675"
"US: Mid-Atlantic","Base (MW)","69988","66175"
"US: Mid-Atlantic","Peak hour","20","12"
"US: Mid-Atlantic","Base hour","4","4"
"US: Midwest","Peak (MW)","80107","71263"
"US: Midwest","Base (MW)","62735","58517"
"US: Midwest","Peak hour","16","14"
"US: Midwest","Base hour","4","5"
"US: New England","Peak (MW)","14319","13207"
"US: New England","Base (MW)","10438","9798"
"US: New England","Peak hour","20","20"
"US: New England","Base hour","3","3"
"US: New York","Peak (MW)","18102","16127"
"US: New York","Base (MW)","13039","12483"
"US: New York","Peak hour","21","21"
"US: New York","Base hour","4","4"
"US: Northwest","Peak (MW)","39793","38948"
"US: Northwest","Base (MW)","30271","30654"
"US: Northwest","Peak hour","10","10"
"US: Northwest","Base hour","4","4"
"US: Southeast","Peak (MW)","27350","24602"
"US: Southeast","Base (MW)","19354","18225"
"US: Southeast","Peak hour","17","16"
"US: Southeast","Base hour","3","3"
"US: Southwest","Peak (MW)","12830","12751"
"US: Southwest","Base (MW)","8648","8767"
"US: Southwest","Peak hour","20","20"
"US: Southwest","Base hour","4","4"
"US: Tennessee","Peak (MW)","18231","16067"
"US: Tennessee","Base (MW)","12958","12327"
"US: Tennessee","Peak hour","17","16"
"US: Tennessee","Base hour","3","3"
"US: Texas","Peak (MW)","43268","45045"
"US: Texas","Base (MW)","28752","30621"
"US: Texas","Peak hour","18","18"
"US: Texas","Base hour","4","4"
