"date","geography","percent_red","percent_red_upper","percent_red_lower","week_2020","grocery_pharmacy","workplace","residential"
2020-02-19,"Australia",-0.0180478092380442,0.0139740593137085,-0.0481090581769878,8,0.0452380952380952,0.112380952380952,-0.0104761904761905
2020-02-26,"Australia",-0.000317368022319188,0.0352324022853349,-0.0335066467168815,9,0.0815873015873016,0.0580952380952381,-0.000793650793650794
2020-03-04,"Australia",-0.0345945537685012,-0.00039352016281097,-0.0665326695979371,10,0.187460317460317,0.107777777777778,0.00507936507936508
2020-03-11,"Australia",-0.0279679162603082,0.00551817403121875,-0.0592955587349858,11,0.173333333333333,-0.0141269841269841,0.0598412698412698
2020-03-18,"Australia",-0.0458776386185681,-0.0117735897512777,-0.0777063250748663,12,-0.0495238095238095,-0.241746031746032,0.14241935483871
2020-03-25,"Australia",-0.0151112392616347,0.0210674983502228,-0.0488139197154423,13,-0.105873015873016,-0.324444444444444,0.169193548387097
2020-04-01,"Australia",-0.0303407754743919,0.00865007525099552,-0.0664293217888045,14,-0.14968253968254,-0.48952380952381,0.203064516129032
2020-04-08,"Australia",-0.0372035299243654,-0.00159272834711811,-0.0703615132737599,15,-0.1,-0.333492063492064,0.167258064516129
2020-04-15,"Australia",-0.0151368808169781,0.023921736279079,-0.0513251239411881,16,-0.100645161290323,-0.332539682539683,0.156507936507937
2020-04-22,"Australia",-0.0299703934629076,0.00369425321823198,-0.0614500520241672,17,-0.0598412698412698,-0.286190476190476,0.137301587301587
2020-04-29,"Australia",-0.0297126100115577,0.00463854090786739,-0.0617923205523707,18,0.00111111111111111,-0.227936507936508,0.128095238095238
2020-05-06,"Australia",-0.0239923792757035,0.00920389634959827,-0.0550743177298914,19,-0.00873015873015873,-0.203968253968254,0.113492063492063
2020-05-13,"Australia",-0.00480521911135642,0.0287498373686576,-0.0362404664444923,20,0.00619047619047619,-0.178571428571429,0.11031746031746
2020-05-20,"Australia",-0.0118383255611984,0.021763040326877,-0.0433000479614028,21,0.0134920634920635,-0.153968253968254,0.0992063492063492
2020-05-27,"Australia",-0.0304394236180021,6.79179686382785e-05,-0.0591405935892175,22,0.00333333333333333,-0.188412698412698,0.0873015873015873
2020-02-19,"Austria",0.00890590327531905,0.0492837204464791,-0.0284794835617904,8,0.0684057971014493,0.012,0.006
2020-02-26,"Austria",0.0151543129811386,0.0577982718656931,-0.0241845978444955,9,0.05,0.00957142857142857,-0.000142857142857143
2020-03-04,"Austria",-0.0235608519259481,0.0185685754176233,-0.0623436365047044,10,0.00463768115942029,-0.189714285714286,0.0925714285714286
